Mouse	Human
Zp3r	[C4BPA]
Ptbp1	[PTBP1]
Cpeb1	[CPEB1]
Rpl27a	[RPL27A]
Eqtn	[EQTN]
Exoc3l4	[EXOC3L4]
H13	[HM13]
Cpeb2	[CPEB2]
Cpeb3	[CPEB3]
Cpeb4	[CPEB4]
Krtap13-1	[KRTAP13-2, KRTAP13-1, KRTAP13-4, KRTAP13-3]
Exoc3l2	[EXOC3L2]
Ighv15-2	[IGHV1-69-2, IGHV1-24]
Pcyox1l	[PCYOX1L]
Mir2861	[MIR2861]
Gm5114	[C2orf78]
Sestd1	[SESTD1]
Cks2	[CKS2]
Dntt	[DNTT]
Trav14d-2	[TRAV23DV6]
Gcfc2	[GCFC2]
Zscan29	[ZSCAN29]
Bhmt	[BHMT]
Zscan25	[ZSCAN25]
Zscan26	[ZSCAN26]
Zscan21	[ZSCAN21]
Zscan22	[ZSCAN22]
Zscan20	[ZSCAN20]
Glipr1	[GLIPR1]
Ankk1	[ANKK1]
Golgb1	[GOLGB1]
Glipr2	[GLIPR2]
Pira12	[LILRA6, LILRA1, LILRA2, LILRB3, LILRA3, LILRA4]
Pira13	[LILRA6, LILRA1, LILRA2, LILRB3, LILRA3, LILRA4]
Fos	[FOS]
Zscan30	[ZSCAN30]
Golga4	[GOLGA4]
Golga5	[GOLGA5]
Golga2	[GOLGA2]
Aftph	[AFTPH]
Golga3	[GOLGA3]
Golga1	[GOLGA1]
Golga7	[GOLGA7]
Spef2	[SPEF2]
Spef1	[SPEF1]
Abitram	[ABITRAM]
Ykt6	[YKT6]
Greb1l	[GREB1L]
Ipcef1	[IPCEF1]
Pimreg	[PIMREG]
Leo1	[LEO1]
Gm7762	[ZNF700]
Zscan18	[ZSCAN18]
Nkrf	[NKRF]
Cct8l1	[CCT8L2, CCT8L1P]
Zscan12	[ZSCAN12]
Zscan10	[ZSCAN10]
Serpinb6e	[SERPINB6]
Mybph	[MYBPH]
Pip5k1c	[PIP5K1C]
Serpinb6c	[SERPINB6]
Serpinb6d	[SERPINB6]
P4htm	[P4HTM]
Pip5k1b	[PIP5K1B]
Serpinb6a	[SERPINB6]
Pip5k1a	[PIP5K1A]
Frk	[FRK]
Serpinb6b	[SERPINB6]
Stra8	[STRA8]
Or1e1c	[OR1E3, OR1E2]
Fry	[FRY]
Ppp1r12c	[PPP1R12C]
Ppp1r12b	[PPP1R12B]
Stra6	[STRA6]
Ppp1r12a	[PPP1R12A]
Or1e35	[OR1E3, OR1E2, OR1E1]
Abhd3	[ABHD3]
Or1e34	[OR1E3, OR1E2, OR1E1]
Abhd4	[ABHD4]
Abhd1	[ABHD1]
Abhd2	[ABHD2]
Or1e31	[OR1E3, OR1E2, OR1E1]
Serpinb1b	[SERPINB1]
Or1e30	[OR1E3, OR1E2, OR1E1]
Serpinb1c	[SERPINB1]
Abhd8	[ABHD8]
Mhrt	[MHRT]
Or1e33	[OR1E3, OR1E2, OR1E1]
Abhd5	[ABHD5]
Or1e32	[OR1E3, OR1E2, OR1E1]
Serpinb1a	[SERPINB1]
Abhd6	[ABHD6]
Gltpd2	[GLTPD2]
Psme3ip1	[PSME3IP1]
Ppp1r13l	[PPP1R13L]
Fst	[FST]
Serpinb12	[SERPINB12]
Serpinb13	[SERPINB13]
Serpinb10	[SERPINB10]
Serpinb11	[SERPINB11]
Ppp1r13b	[PPP1R13B]
Or1e29	[OR1E3, OR1E2, OR1E1]
Or1e23	[OR1E3, OR1E2, OR1E1]
Or1e26	[OR1E3, OR1E2, OR1E1]
Or1e25	[OR1E3, OR1E2, OR1E1]
Atf7ip	[ATF7IP]
Hjurp	[HJURP]
Or1e22	[OR1E3, OR1E2, OR1E1]
Or1e21	[OR1E3, OR1E2, OR1E1]
Nktr	[NKTR]
Fto	[FTO]
Bdkrb2	[BDKRB2]
Bdkrb1	[BDKRB1]
Ftx	[FTX]
Ppp1r14d	[PPP1R14D]
Ppp1r14a	[PPP1R14A]
Ppp1r14c	[PPP1R14C]
Iqcb1	[IQCB1]
Ppp1r14b	[PPP1R14B]
Serpinb3d	[SERPINB3, SERPINB4]
Serpinb3b	[SERPINB3, SERPINB4]
Serpinb3c	[SERPINB3, SERPINB4]
Serpinb3a	[SERPINB3, SERPINB4]
Palb2	[PALB2]
Tepsin	[TEPSIN]
Fus	[FUS]
2310061I04Rik	[C6orf136]
Fuz	[FUZ]
Myd88	[MYD88]
Ppp1r15b	[PPP1R15B]
Ppp1r15a	[PPP1R15A]
Iqca1	[IQCA1]
Zc3h4	[ZC3H4]
Hibadh	[HIBADH]
Zc3h3	[ZC3H3]
Zc3h8	[ZC3H8]
Rapgefl1	[RAPGEFL1]
Zc3h6	[ZC3H6]
Lepr	[LEPR]
Cdc73	[CDC73]
Cdc5l	[CDC5L]
Oard1	[OARD1]
Spg21	[SPG21]
Ppp1r16b	[PPP1R16B]
Eif5b	[EIF5B]
Eif5a	[EIF5A, EIF5AL1]
Lgalsl2	[LGALSL]
Ppp1r16a	[PPP1R16A]
Krtap9-3	[KRTAP1-3]
Scgb1c1	[SCGB1C2, SCGB1C1]
Erc1	[ERC1]
Krtap9-1	[KRTAP9-7, KRTAP9-6, KRTAP9-4, KRTAP9-3, KRTAP9-2, KRTAP9-9, KRTAP9-8]
Ptbp3	[PTBP3]
Ptbp2	[PTBP2]
Erc2	[ERC2]
Eras	[ERAS]
Krtap9-5	[KRTAP9-1]
Coasy	[COASY]
Sh3gl3	[SH3GL3]
Vbp1	[VBP1]
Ankar	[ANKAR]
Cfap97d1	[CFAP97D1]
Eif4h	[EIF4H]
Cfap97d2	[CFAP97D2]
Eif4b	[EIF4B]
Eif4e	[EIF4E]
Oxct2a	[OXCT2]
Oxct2b	[OXCT2]
Sh3gl1	[SH3GL1]
Sh3gl2	[SH3GL2]
Fxn	[FXN]
Eif3m	[EIF3M]
Eif3i	[EIF3I]
Eif3l	[EIF3L]
Eif3k	[EIF3K]
Eif3f	[EIF3F]
Eif3e	[EIF3E]
Eif3h	[EIF3H]
Eif3g	[EIF3G]
Eif3b	[EIF3B]
Eif3a	[EIF3A]
Eif3d	[EIF3D]
Itlnb	[ITLN1]
Fyb	[FYB1]
Eif3c	[EIF3CL, EIF3C]
Ahcyl2	[AHCYL2]
Iqcf4	[IQCF4P]
Ahcyl1	[AHCYL1]
Iqcf6	[IQCF6]
Ppp1ccb	[PPP1CC]
Iqcf5	[IQCF5]
Ifit3b	[IFIT3]
Pnrc2	[PNRC2]
Pnrc1	[PNRC1]
Fyn	[FYN]
Scgb1a1	[SCGB1A1]
Cdc45	[CDC45]
Cdc42	[CDC42]
Iqcf1	[IQCF1]
Mroh1	[MROH1]
Uap1l1	[UAP1L1]
Mroh4	[MROH4P]
Mroh5	[MROH5]
Rbbp5	[RBBP5]
Rbbp4	[RBBP4]
Mroh3	[MROH3P]
Rbbp7	[RBBP7]
Mroh8	[MROH8]
Rbbp6	[RBBP6]
Eif2d	[EIF2D]
Mroh9	[MROH9]
Rbbp9	[RBBP9]
Mroh6	[MROH6]
Rbbp8	[RBBP8]
Mroh7	[MROH7]
Spg11	[SPG11]
Eif2a	[EIF2A]
Prc1	[PRC1]
Il1r2	[IL1R2]
Trem2	[TREM2]
Il1r1	[IL1R1]
Trem1	[TREM1]
Itln1	[ITLN1, ITLN2]
Carhsp1	[CARHSP1]
Il36b	[IL36B]
Prf1	[PRF1]
Il36a	[IL36A]
Eif1b	[EIF1B]
Ereg	[EREG]
Eif1a	[EIF1AX]
Uqcrfs1	[UQCRFS1, UQCRFS1P1]
Cdc27	[CDC27]
Cdc26	[CDC26]
Preb	[PREB]
Igfl3	[IGFL4, IGFL2, IGFL3]
Cdc23	[CDC23]
Ovol1	[OVOL1]
Ovol2	[OVOL2]
Cdc20	[CDC20]
Ovol3	[OVOL3]
Cdc40	[CDC40]
Prcc	[PRCC]
Prcd	[PRCD]
Prcp	[PRCP]
Cutal	[CUTALP]
Relch	[RELCH]
Mccc1	[MCCC1]
Mccc2	[MCCC2]
Gmcl1	[GMCL1, GMCL2]
Mturn	[MTURN]
Cdc37	[CDC37]
Mst1r	[MST1R]
Cdc34	[CDC34]
Il1rn	[IL1RN]
Gpalpp1	[GPALPP1]
Grin2a	[GRIN2A]
Lacc1	[LACC1]
Lratd1	[LRATD1]
Lratd2	[LRATD2]
Aldh6a1	[ALDH6A1]
Prh1	[PRB4, PRB1, PRB3, PRB2]
Nkx1-2	[NKX1-2]
Nkx1-1	[NKX1-1]
Lmntd1	[LMNTD1]
Dhtkd1	[DHTKD1]
Lmntd2	[LMNTD2]
Gt(ROSA)26Sor	[THUMPD3-AS1]
Eri1	[ERI1]
Trex2	[TREX2]
Trex1	[TREX1]
Eri3	[ERI3]
Eri2	[ERI2]
Agtr1a	[AGTR1]
Agtr1b	[AGTR1]
Knop1	[KNOP1]
Cdan1	[CDAN1]
Mtus2	[MTUS2]
Igfn1	[IGFN1]
Mtus1	[MTUS1]
Nhlh2	[NHLH2]
Grin3b	[GRIN3B]
Grin3a	[GRIN3A]
Nhlh1	[NHLH1]
Prg3	[PRG3]
Prg4	[PRG4]
Prep	[PREP]
Prg2	[PRG2]
Erfe	[ERFE]
Erfl	[ERFL]
Meig1	[MEIG1]
Il36g	[IL36G]
Cdc16	[CDC16]
Grin2d	[GRIN2D]
Grin2c	[GRIN2C]
Grin2b	[GRIN2B]
Mdfic	[MDFIC]
Mia2	[CTAGE1, MIA2, CTAGE8, CTAGE6]
Mia3	[MIA3]
Shoc1	[SHOC1]
Shoc2	[SHOC2]
Larp7-ps	[LARP7]
Ooep	[OOEP]
Or1f12	[OR1F12P]
Akap7	[AKAP7]
Akap8	[AKAP8]
Akap5	[AKAP5]
Akap6	[AKAP6]
Akap3	[AKAP3]
Pald1	[PALD1]
Akap4	[AKAP4]
Akap1	[AKAP1]
1110032F04Rik	[C3orf80]
Gaa	[GAA]
Akap9	[AKAP9]
Fancd2os	[FANCD2OS]
1700123O20Rik	[C14orf119]
Gak	[GAK]
Gal	[GAL]
Tshz2	[TSHZ2]
Tshz1	[TSHZ1]
Gan	[GAN]
Tshz3	[TSHZ3]
Prpf4b	[PRPF4B]
1700030K09Rik	[C19orf44]
Zcwpw2	[ZCWPW2]
Zcwpw1	[ZCWPW1]
Strap	[STRAP]
Bmal2	[BMAL2]
Aldob	[ALDOB]
Aldoc	[ALDOC]
Dohh	[DOHH]
Miat	[MIAT]
Aldoa	[ALDOA]
Bmal1	[BMAL1]
Mycbp	[MYCBP]
Vmn1r9	[VN1R5]
Strbp	[STRBP]
Fibcd1	[FIBCD1]
Il11ra2	[IL11RA]
1110002E22Rik	[C4orf54]
Il11ra1	[IL11RA]
Gca	[GCA]
Mib2	[MIB2]
Gcg	[GCG]
Vmn1r1	[VN1R17P]
Or1f19	[OR1F1, OR1F2P]
Gck	[GCK]
Mib1	[MIB1]
Nle1	[NLE1]
Or11g27	[OR11G2]
Or11g26	[OR11G2]
Klk12	[KLK12]
Klk11	[KLK11]
Or11g24	[OR11G2]
Klk10	[KLK10]
Klk15	[KLK15]
Klk14	[KLK14]
Klk13	[KLK13]
Gm7694	[C1orf226]
Glb1l	[GLB1L]
Gda	[GDA]
Nrip1	[NRIP1]
Nrip2	[NRIP2]
Nrip3	[NRIP3]
Prlr	[PRLR]
Ermn	[ERMN]
Clgn	[CLGN]
Slc8a1	[SLC8A1]
Slc8a2	[SLC8A2]
Sdcbp	[SDCBP]
Prm1	[PRM1]
Prm2	[PRM2]
Syncrip	[SYNCRIP]
Slc8a3	[SLC8A3]
Prkn	[PRKN]
Meiob	[MEIOB]
Xiap	[BIRC8, XIAP]
Meioc	[MEIOC]
Prkx	[PRKY, PRKX]
Stt3a	[STT3A]
Sftpa1	[SFTPA2, SFTPA1]
Ilvbl	[ILVBL]
Stt3b	[STT3B]
Fuom	[FUOM]
Mid1	[MID1]
Mid2	[MID2]
Gem	[GEM]
Or10d4b	[OR10D4P]
Prm3	[PRM3]
Or10d4c	[OR10D4P]
Ern2	[ERN2]
Rxrb	[RXRB]
Dok1	[DOK1]
Ern1	[ERN1]
Rxra	[RXRA]
Dok2	[DOK2]
Nkapd1	[NKAPD1]
Dok3	[DOK3]
Dok4	[DOK4]
Dok5	[DOK5]
Dok6	[DOK6]
4933412E24Rik	[CXorf49B, CXorf49]
Dok7	[DOK7]
Prlh	[PRLH]
Sirt3	[SIRT3]
Sirt2	[SIRT2]
Sirt1	[SIRT1]
Rxrg	[RXRG]
Sirt7	[SIRT7]
D1Pas1	[DDX3X]
Sirt6	[SIRT6]
Sirt5	[SIRT5]
Slc8b1	[SLC8B1]
Sirt4	[SIRT4]
Prnp	[PRNP]
Prp2	[PRB4, PRB1, PRB3, PRB2]
Anapc5	[ANAPC5]
Gapdhs	[GAPDHS]
Dolk	[DOLK]
Anapc4	[ANAPC4]
Pals1	[PALS1]
Anapc1	[ANAPC1]
Fut2	[FUT2]
Grsf1	[GRSF1]
Anapc2	[ANAPC2]
Fut1	[FUT1]
Fut4	[FUT4]
Pals2	[PALS2]
Clk1	[CLK1]
Proc	[PROC]
Clk2	[CLK2]
Hspb9	[HSPB9]
Clk3	[CLK3]
Tgfb1	[TGFB1]
Fut8	[FUT8]
Clk4	[CLK4]
Tgfb2	[TGFB2]
Fut7	[FUT7]
Mamdc4	[MAMDC4]
Ptch2	[PTCH2]
Tgfb3	[TGFB3]
Ptch1	[PTCH1]
Hspb6	[HSPB6]
Mamdc2	[MAMDC2]
Fut9	[FUT9]
Elmo3	[ELMO3]
Hspb7	[HSPB7]
Anapc7	[ANAPC7]
Elmo2	[ELMO2]
Hspb8	[HSPB8]
Sycp2l	[SYCP2L]
Elmo1	[ELMO1]
Hspb1	[HSPB1]
Igkv7-33	[IGKV4-1]
Hspb2	[HSPB2]
Gm29735	[KRTAP5-10, KRTAP5-9, KRTAP5-7, KRTAP5-11, KRTAP5-3, KRTAP5-2]
Hspb3	[HSPB3]
Gfy	[GFY]
Midn	[MIDN]
Loxhd1	[LOXHD1]
Sccpdh	[SCCPDH]
Gm6358	[KRTAP20-2]
Ggh	[GGH]
Tgfbi	[TGFBI]
Pgpep1	[PGPEP1]
Sirpa	[SIRPA]
Ggn	[GGN]
Hspa8	[HSPA8]
Hspa9	[HSPA9]
Sirpd	[SIRPD]
Hspa4	[HSPA4]
Hspa5	[HSPA5]
Fblim1	[FBLIM1]
Hspa2	[HSPA2]
Prnd	[PRND]
4930579F01Rik	[C4orf17]
Prr7	[PRR7]
Prr5	[PRR5]
Prr3	[PRR3]
Aff4	[AFF4]
Aff3	[AFF3]
Aff2	[AFF2]
Exph5	[EXPH5]
Aff1	[AFF1]
Prr9	[PRR9]
Ghr	[GHR]
Afdn	[AFDN]
Vcan	[VCAN]
Mtarc2	[MTARC2]
Mtarc1	[MTARC1]
Mir19b-2	[MIR19B2]
Mir19b-1	[MIR19B1]
Hspd1	[HSPD1]
Strn3	[STRN3]
Strn4	[STRN4]
Palld	[PALLD]
Chmp3	[CHMP3, RNF103-CHMP3]
Proz	[PROZ]
Chmp5	[CHMP5]
Igfbp7	[IGFBP7]
Igfbp6	[IGFBP6]
Chmp7	[CHMP7]
Chmp6	[CHMP6]
Gip	[GIP]
Gk2	[GK2]
Ifna13	[IFNA5, IFNA4, IFNA13, IFNA7, IFNA14, IFNA6, IFNA1, IFNA16, IFNA17, IFNA2, IFNA8, IFNA10, IFNA21]
Gk5	[GK5]
Ifna14	[IFNA5, IFNA4, IFNA13, IFNA7, IFNA14, IFNA6, IFNA1, IFNA16, IFNA17, IFNA2, IFNA8, IFNA10, IFNA21]
Ifna11	[IFNA5, IFNA4, IFNA13, IFNA7, IFNA14, IFNA6, IFNA1, IFNA16, IFNA17, IFNA2, IFNA8, IFNA10, IFNA21]
Ifna12	[IFNA5, IFNA4, IFNA13, IFNA7, IFNA14, IFNA6, IFNA1, IFNA16, IFNA17, IFNA2, IFNA8, IFNA10, IFNA21]
Palm3	[PALM3]
Ifna15	[IFNA5, IFNA4, IFNA13, IFNA7, IFNA14, IFNA6, IFNA1, IFNA16, IFNA17, IFNA2, IFNA8, IFNA10, IFNA21]
Ifna16	[IFNA5, IFNA4, IFNA13, IFNA7, IFNA14, IFNA6, IFNA1, IFNA16, IFNA17, IFNA2, IFNA8, IFNA10, IFNA21]
Ctps2	[CTPS2]
Siah1b	[SIAH1]
Siah1a	[SIAH1]
Ctps1	[CTPS1]
Prph	[PRPH]
Aldh2	[ALDH2]
Palmd	[PALMD]
Miip	[MIIP]
Krtap26-1	[KRTAP26-1]
Clmn	[CLMN]
Clmp	[CLMP]
Rell2	[RELL2]
Rell1	[RELL1]
Mdh1b	[MDH1B]
Igfbp3	[IGFBP3]
Ptcd2	[PTCD2]
Igfbp2	[IGFBP2]
Ptcd1	[PTCD1, ATP5MF-PTCD1]
Fam171a2	[FAM171A2]
Igfbp5	[IGFBP5]
Fam171a1	[FAM171A1]
Ptcd3	[PTCD3]
Igfbp4	[IGFBP4]
Igfbp1	[IGFBP1]
Hcrtr2	[HCRTR2]
Pabpn1l	[PABPN1L]
Hcrtr1	[HCRTR1]
Meis1	[MEIS1]
Cln3	[CLN3]
Cln5	[CLN5]
Cln6	[CLN6]
Cln8	[CLN8]
Ccr1l1	[CCR1]
Rpl23a	[RPL23A]
Gm5071	[MAGEB17]
Meis2	[MEIS2]
Ttc39d	[TTC39DP]
Hspe1	[HSPE1]
Meis3	[MEIS3P2, MEIS3P1, MEIS3]
Gla	[GLA]
Ttc39c	[TTC39C]
Ttc39b	[TTC39B]
Ttc39a	[TTC39A]
Eif2ak1	[EIF2AK1]
Eif2ak2	[EIF2AK2]
Eif2ak3	[EIF2AK3]
Eif2ak4	[EIF2AK4]
Gls	[GLS]
Trp53i13	[TP53I13]
Trp53i11	[TP53I11]
Rpl35rt	[RPL35]
Dnaaf10	[DNAAF10]
Clpb	[CLPB]
Ldoc1	[LDOC1]
Dnaaf11	[DNAAF11]
Clnk	[CLNK]
Gml	[GML]
Tecpr1	[TECPR1]
Clp1	[CLP1]
Tecpr2	[TECPR2]
Ighv14-3	[IGHV1-69-2, IGHV1-24]
Ighv14-2	[IGHV1-69-2, IGHV1-24]
Ighv14-4	[IGHV1-69-2, IGHV1-24]
Prtg	[PRTG]
Bin3	[BIN3]
Bin2	[BIN2]
Bin1	[BIN1]
Nobox	[NOBOX]
Ighv14-1	[IGHV1-69-2, IGHV1-24]
Axin1	[AXIN1]
Etfdh	[ETFDH]
Axin2	[AXIN2]
Epha10	[EPHA10]
Gne	[GNE]
Rad21	[RAD21]
Gp2	[GP2]
Gp6	[GP6]
Gns	[GNS]
Gp5	[GP5]
Gm16026	[SP110]
Gp9	[GP9]
Fuca2	[FUCA2]
Ndufa11b	[NDUFA11]
Fuca1	[FUCA1]
Pik3ap1	[PIK3AP1]
Fbll1	[FBLL1]
Parp12	[PARP12]
Hottip	[HOTTIP]
Parp14	[PARP14]
Parp16	[PARP16]
B4gat1	[B4GAT1]
Clpp	[CLPP]
Pik3c2b	[PIK3C2B]
Pik3c2a	[PIK3C2A]
Rad17	[RAD17]
Pik3c2g	[PIK3C2G]
Cirop	[CIROP]
Clps	[CLPS]
Rad18	[RAD18]
Clpx	[CLPX]
Rpl39l	[RPL39L]
4921539E11Rik	[C1orf141]
4930590J08Rik	[C3orf20]
Parp10	[PARP10]
Tpbgl	[TPBGL]
Parp11	[PARP11]
Miox	[MIOX]
2900092C05Rik	[C19orf18]
Mios	[MIOS]
Slco6c1	[SLCO6A1]
Gpt	[GPT]
Fbln7	[FBLN7]
Srp68	[SRP68]
Clta	[CLTA]
Slco6b1	[SLCO6A1]
Cltb	[CLTB]
Cltc	[CLTC]
Fbln1	[FBLN1]
Fbln2	[FBLN2]
Fbln5	[FBLN5]
Cdca8	[CDCA8]
Mir155hg	[MIR155HG]
Cdca7	[CDCA7]
Slco6d1	[SLCO6A1]
Cdca5	[CDCA5]
Cdca4	[CDCA4]
Srp72	[SRP72]
Cdca3	[CDCA3]
Cdca2	[CDCA2]
Arglu1	[ARGLU1]
Rpl22l1	[RPL22L1]
Spag11b	[SPAG11B]
C1galt1	[C1GALT1]
2310030G06Rik	[C11orf52]
Igkv6-17	[IGKV4-1]
Grn	[GRN]
Igkv6-15	[IGKV4-1]
Igkv6-13	[IGKV4-1]
Grp	[GRP]
Igkv6-14	[IGKV4-1]
Rabl2	[RABL2A, RABL2B]
Ypel1	[YPEL1]
Piezo2	[PIEZO2]
Piezo1	[PIEZO1]
Rabl3	[RABL3]
Rabl6	[RABL6]
Ypel4	[YPEL4]
Ypel5	[YPEL5]
Ypel2	[YPEL2]
Ypel3	[YPEL3]
Rybp	[RYBP]
Golm1	[GOLM1]
Golm2	[GOLM2]
Gsc	[GSC]
Igkv6-20	[IGKV4-1]
Faim2	[FAIM2]
Dazap1	[DAZAP1]
Hsd11b1	[HSD11B1]
Hsd11b2	[HSD11B2]
Dazap2	[DAZAP2]
Rabif	[RABIF]
Igkv6-29	[IGKV4-1]
Gsn	[GSN]
Igkv6-25	[IGKV4-1]
Gss	[GSS]
Igkv6-23	[IGKV4-1]
Gsr	[GSR]
Elof1	[ELOF1]
Crlf2	[CRLF2]
Crlf1	[CRLF1]
Mixl1	[MIXL1]
Crlf3	[CRLF3]
Arfip1	[ARFIP1]
Mapk8ip1	[MAPK8IP1]
Mapk8ip2	[MAPK8IP2]
Lfng	[LFNG]
Mapk8ip3	[MAPK8IP3]
Arfip2	[ARFIP2]
Igkv6-32	[IGKV4-1]
Gm32929	[LINC02915]
Cluh	[CLUH]
Prpf39	[PRPF39]
Tceal9	[TCEAL9]
Faiml	[FAIM]
Prpf31	[PRPF31]
Tceal1	[TCEAL1]
Mitf	[MITF]
Tceal3	[TCEAL6, TCEAL3]
Tceal6	[TCEAL6]
Tceal5	[TCEAL5]
Tceal8	[TCEAL8]
Tceal7	[TCEAL7]
Mir181a-1	[MIR181A1]
Mir181a-2	[MIR181A2]
9130401M01Rik	[ZHX1-C8orf76, C8orf76]
Mgrn1	[MGRN1]
Xist	[XIST]
Gyg1	[GYG1]
Clxn	[CLXN]
Dnaaf6b	[DNAAF6]
Or1e1d-ps1	[OR1E3, OR1E2, OR1E1]
Hycc2	[HYCC2]
Hycc1	[HYCC1]
Tpd52	[TPD52]
Rxylt1	[RXYLT1]
Misp	[MISP]
Prpf19	[PRPF19]
Bivm	[BIVM]
Prpf18	[PRPF18]
Rad9a	[RAD9A]
Actl10	[ACTL10]
Actl11	[ACTL11P]
Rad9b	[RAD9B]
Esam	[ESAM]
Chordc1	[CHORDC1]
Wfs1	[WFS1]
CK137956	[C1orf94]
Adcyap1r1	[ADCYAP1R1]
Gripap1	[GRIPAP1]
Chodl	[CHODL]
Agxt2	[AGXT2]
Il4ra	[IL4R]
Efcab12	[EFCAB12]
Efcab14	[EFCAB14]
Efcab15	[EFCAB15P]
Efcab10	[EFCAB10]
Efcab11	[EFCAB11]
Shank2	[SHANK2]
Shank1	[SHANK1]
Gon4l	[GON4L, YY1AP1]
Shank3	[SHANK3]
Dmxl2	[DMXL2]
Dmxl1	[DMXL1]
Gm8909	[HLA-H, HLA-B, HLA-C, HLA-A, HLA-F, HLA-G, HLA-E]
Psd3	[PSD3]
Opa1	[OPA1]
Psd4	[PSD4]
Opa3	[OPA3]
Psd2	[PSD2]
Trpd52l3	[TPD52L3]
Ift122	[IFT122]
Spmap2	[SPMAP2]
Spmap1	[SPMAP1]
Psap	[PSAP]
Esco1	[ESCO1]
Esco2	[ESCO2]
Rlbp1	[RLBP1]
Ctnnal1	[CTNNAL1]
Kansl3	[KANSL3]
Acvr1c	[ACVR1C]
Kansl1	[KANSL1]
Kansl2	[KANSL2]
Tango2	[TANGO2]
Tango6	[TANGO6]
Mir299a	[MIR299]
Mcfd2	[MCFD2]
Islr2	[ISLR2]
Acvr1b	[ACVR1B]
Cma1	[CMA1]
Mapk12	[MAPK12]
Rad51	[RAD51]
Mapk13	[MAPK13]
Rad50	[RAD50]
Mapk14	[MAPK14]
Rad52	[RAD52]
Mapk15	[MAPK15]
Psca	[PSCA]
Stub1	[STUB1]
Ntrk2	[NTRK2]
Ntrk1	[NTRK1]
Ntrk3	[NTRK3]
Acvr2a	[ACVR2A]
Plod3	[PLOD3]
Esf1	[ESF1]
Plod1	[PLOD1]
Acvr2b	[ACVR2B]
Plod2	[PLOD2]
Ehbp1	[EHBP1]
Rchy1	[RCHY1]
Mapk10	[MAPK10]
Mapk11	[MAPK11]
Pyurf	[PYURF]
Aldh5a1	[ALDH5A1]
Trib3	[TRIB3]
Sostdc1	[SOSTDC1]
Trib2	[TRIB2]
Zpbp	[ZPBP]
Trib1	[TRIB1]
Cmah	[CMAHP]
Dpf1	[DPF1]
Dpf2	[DPF2]
Iffo2	[IFFO2]
Cmc1	[CMC1]
Cmc2	[CMC2]
Dpf3	[DPF3]
Cirbp	[CIRBP]
Cmc4	[CMC4]
Cmas	[CMAS]
Iffo1	[IFFO1]
Dpcd	[DPCD]
Actl6a	[ACTL6A]
Actl6b	[ACTL6B]
Ctrb1	[CTRB2, CTRB1]
Kalrn	[KALRN]
Mid1ip1	[MID1IP1]
Lcn12	[LCN12]
Or4n4b	[OR4N4, OR4N2]
Lcn15	[LCN15]
Nmbr	[NMBR]
Nmd3	[NMD3]
Lcn10	[LCN10]
Hbb-y	[HBG2, HBE1]
Actl7a	[ACTL7A]
Actl7b	[ACTL7B]
Dph1	[DPH1]
Dph2	[DPH2]
Dph3	[DPH3, DPH3P1]
Dph5	[DPH5]
Dph6	[DPH6]
Dph7	[DPH7]
Srfbp1	[SRFBP1]
Nrn1l	[NRN1L]
Hal	[HAL]
Cmbl	[CMBL]
Tmsb10b	[TMSB10]
Iqca1l	[IQCA1L]
Ryr2	[RYR2]
Ryr1	[RYR1]
Krtap29-1	[KRTAP29-1]
Ryr3	[RYR3]
Pbrm1	[PBRM1]
Lrrc17	[LRRC17]
Suz12	[SUZ12]
Lrrc18	[LRRC18]
Gys1	[GYS1]
Gys2	[GYS2]
Esm1	[ESM1]
Lrrc19	[LRRC19]
Lrrc14	[LRRC14]
Lrrc15	[LRRC15]
Tceanc	[TCEANC]
Lrrc10	[LRRC10]
Ammecr1	[AMMECR1]
Gypa	[GYPA, GYPB, GYPE]
Nfilz	[NFILZ]
Thoc2l	[THOC2]
Gypc	[GYPC]
Nme3	[NME3]
Nme2	[NME1-NME2, NME2, NME2P1]
Nfe2l3	[NFE2L3]
Nme5	[NME5]
Nme4	[NME4]
Nfe2l1	[NFE2L1]
Nfe2l2	[NFE2L2]
Mef2bl	[BORCS8-MEF2B, MEF2B]
Nme1	[NME1]
Hck	[HCK]
Cacna2d1	[CACNA2D1]
Nme7	[NME7]
Nme6	[NME6]
Lpcat1	[LPCAT1]
Nme9	[NME9]
Nme8	[NME8]
Cacna2d3	[CACNA2D3]
Cacna2d2	[CACNA2D2]
Cacna2d4	[CACNA2D4]
Hdc	[HDC]
Or2h2c	[OR2H2]
Lpcat3	[LPCAT3]
Lpcat2	[LPCAT2]
Lpcat4	[LPCAT4]
Col19a1	[COL19A1]
Or1e17	[OR1E3, OR1E2, OR1E1]
Lrrc38	[LRRC38]
Or1e16	[OR1E3, OR1E2]
Lrrc39	[LRRC39]
Or1e19	[OR1E3, OR1E2]
Lrrc34	[LRRC34]
Lrrc36	[LRRC36]
Lrrc37	[LRRC37A3, LRRC37A2, LRRC37B, LRRC37A]
Lrrc30	[LRRC30]
Lrrc31	[LRRC31]
Krtap6-5	[KRTAP6-3]
Lrrc32	[LRRC32]
Krtap6-3	[KRTAP20-1, KRTAP20-2]
Hdx	[HDX]
Sepsecs	[SEPSECS]
1700012B09Rik	[C11orf97]
Pcmtd2	[PCMTD2]
Nfil3	[NFIL3]
