Regulator	RegulatoryEffect	TargetGene
MED14	downregulates-expression	LEP
INTS7	downregulates-expression	MYB
INTS7	downregulates-expression	MYC
MED31	downregulates-expression	LEP
MED30	downregulates-expression	LEP
BRCA1	upregulates-expression	FST
RXRA	upregulates-expression	HMGCS1
RXRA	upregulates-expression	HMGCS2
MED20	downregulates-expression	LEP
MED22	downregulates-expression	LEP
MED21	downregulates-expression	LEP
MED28	downregulates-expression	LEP
MED27	downregulates-expression	LEP
MED29	downregulates-expression	LEP
MED24	downregulates-expression	LEP
MED23	downregulates-expression	LEP
MED26	downregulates-expression	LEP
MED25	downregulates-expression	LEP
ARNT	upregulates-expression	BNIP3
USF2	upregulates-expression	APOA5
USF1	upregulates-expression	APOA5
UBE2B	upregulates-expression	CTNNB1
KAT2B	upregulates-expression	CDKN1B
KAT2B	upregulates-expression	CDKN1A
KAT2A	upregulates-expression	CDKN1A
SP1	upregulates-expression	SLC19A1
SP1	upregulates-expression	SLC19A3
SP3	upregulates-expression	SLC19A3
SP1	upregulates-expression	STARD3
TFAP2A	upregulates-expression	PRKCA
MAML3	upregulates-expression	GZMB
MAML2	upregulates-expression	GZMB
CIITA	downregulates-expression	MMP9
MAML1	upregulates-expression	GZMB
E2F1	upregulates-expression	TK1
TK1	upregulates-expression	E2F1
E2F3	upregulates-expression	TK1
TK1	upregulates-expression	E2F4
GTF2F2	upregulates-expression	RAD51D
GTF2F1	upregulates-expression	RAD51D
ITIH3	upregulates-expression	GLI1
CD247	upregulates-expression	PRF1
ARNT	upregulates-expression	IGFBP1
EAF1	upregulates-expression	ELL
FZD6	downregulates-expression	GLI2
XBP1	upregulates-expression	YIF1A
STAT3	upregulates-expression	NME1
MYC	downregulates-expression	GLI2
MYC	downregulates-expression	GLI1
GTF2H4	upregulates-expression	RAD51D
GTF2H3	upregulates-expression	RAD51D
GTF2H5	upregulates-expression	RAD51D
NMBR	upregulates-expression	STAT2
GTF2H2	upregulates-expression	RAD51D
GTF2H1	upregulates-expression	RAD51D
ARID1A	upregulates-expression	IGH
ARID1B	upregulates-expression	IGH
FOXO4	upregulates-expression	CDKN2B
CDKN2D	upregulates-expression	FOXO1
CDKN2B	upregulates-expression	FOXO3
FOXO3	upregulates-expression	CDKN2B
CDKN2D	upregulates-expression	FOXO3
PLAG1	upregulates-expression	CRLF1
TNRC6A	downregulates-expression	PTEN
TNRC6C	downregulates-expression	PTEN
TNRC6B	downregulates-expression	PTEN
SUPT5H	upregulates-expression	BRCA1
ARNTL	upregulates-expression	TIMELESS
SP1	upregulates-expression	MMP9
SP1	upregulates-expression	MMP2
HIST1H2AM	upregulates-expression	E2F1
MAX	upregulates-expression	MTA1
MSH2	upregulates-expression	MYC
SRF	upregulates-expression	MMP2
NR5A1	upregulates-expression	CITED2
SLC1A5	upregulates-expression	CTNNB1
ELL	upregulates-expression	BRCA1
SPP1	upregulates-expression	CREB1
FOXA1	downregulates-expression	ABCA1
FOXA2	downregulates-expression	ABCA1
NR4A1	upregulates-expression	MMP2
IRF1	upregulates-expression	CEACAM1
POU5F1	downregulates-expression	CDKN1A
TSG101	downregulates-expression	EGFR
ING4	upregulates-expression	ARL6IP5
VEGFA	upregulates-expression	S1PR1
HBP1	upregulates-expression	FOXO3
ATF1	downregulates-expression	CCNA1
CCNH	upregulates-expression	CHEK1
CCNK	upregulates-expression	CHEK1
IRF3	upregulates-expression	ABCC2
CDH2	upregulates-expression	NOTCH1
HLA-DRB1	upregulates-expression	IFNG
STAT3	upregulates-expression	NOS2
STAT2	upregulates-expression	NOS2
STAT1	upregulates-expression	NOS2
MYC	upregulates-expression	MTA1
MEF2C	upregulates-expression	PPARGC1A
MEF2D	upregulates-expression	PPARGC1A
PCK2	downregulates-expression	NR1H2
PCK2	downregulates-expression	NR1H3
MYC	upregulates-expression	MTDH
TP63	upregulates-expression	RAB38
COPS5	upregulates-expression	MMP1
TRRAP	upregulates-expression	TERT
ARNT	downregulates-expression	CCNE1
ZBTB17	downregulates-expression	COL1A2
TP53	upregulates-expression	RNF144B
STAT1	upregulates-expression	NOX5
STAT3	upregulates-expression	NOX5
FOXA1	upregulates-expression	CDKN1B
MAX	upregulates-expression	MTDH
NOP56	upregulates-expression	MYC
NFKB1	upregulates-expression	GFAP
NFIC	upregulates-expression	FHL5
MED4	upregulates-expression	PCK1
MED7	upregulates-expression	PCK1
MED6	upregulates-expression	PCK1
MED9	upregulates-expression	PCK1
MED8	upregulates-expression	PCK1
MED1	upregulates-expression	PCK1
ANKRD1	downregulates-expression	SMAD6
EP300	downregulates-expression	NR1H4
ATF4	upregulates-expression	IGFBP1
DAXX	downregulates-expression	AIRE
EGR1	upregulates-expression	ACE
ACE	upregulates-expression	EGR1
APAF1	upregulates-expression	E2F1
E2F1	upregulates-expression	APAF1
SMARCD3	upregulates-expression	NPAS2
TP53	upregulates-expression	SNAI2
NR5A1	upregulates-expression	STARD7
FOXO4	upregulates-expression	CDKN1A
FOXO3	upregulates-expression	CDKN1B
CDKN1C	upregulates-expression	FOXO1
FOXO3	upregulates-expression	CDKN1A
FOXO4	upregulates-expression	CDKN1B
SMAD3	downregulates-expression	TGFB1
CDKN2B	upregulates-expression	FOXO1
FOXO1	upregulates-expression	CDKN2B
POU2AF1	upregulates-expression	TNFRSF17
PITX2	upregulates-expression	LHX6
CDKN1B	upregulates-expression	FOXO1
FOXO1	upregulates-expression	CDKN1B
CDKN1A	upregulates-expression	FOXO1
FOXO1	upregulates-expression	CDKN1A
NCOA1	upregulates-expression	TNFRSF21
NCOA2	upregulates-expression	TNFRSF21
NCOA6	upregulates-expression	TNFRSF21
JUNB	upregulates-expression	DMTF1
STAT5B	upregulates-expression	FASLG
STAT5A	upregulates-expression	FASLG
SOX4	upregulates-expression	HDAC8
STAT4	upregulates-expression	ETV5
STAT3	upregulates-expression	ETV6
NNMT	upregulates-expression	STAT3
PPARGC1A	upregulates-expression	APOC3
NR0B2	downregulates-expression	PCK2
STAT3	upregulates-expression	CTNNB1
CP	upregulates-expression	GLI1
TPSB2	upregulates-expression	MITF
PPARGC1A	upregulates-expression	APOA5
RUNX3	upregulates-expression	TIMP1
HSD17B2	upregulates-expression	CTNNB1
RNF2	downregulates-expression	E2F1
MAZ	downregulates-expression	GLI2
RUNX2	upregulates-expression	SNAI2
RUNX2	upregulates-expression	SNAI3
CREB1	upregulates-expression	CASP8
IL1R2	upregulates-expression	GLI2
TWIST2	upregulates-expression	AKR1C2
TWIST1	upregulates-expression	AKR1C2
ETS1	upregulates-expression	TMEM158
RUNX1	upregulates-expression	IGHA1
RUNX3	upregulates-expression	IGHA1
CHD9	upregulates-expression	TIAM2
LUM	downregulates-expression	GLI2
MYC	upregulates-expression	MMP9
RNF128	downregulates-expression	IL2
RNF128	downregulates-expression	IL4
EGR1	upregulates-expression	STIM1
CTNNB1	upregulates-expression	FGF4
TBL1X	upregulates-expression	TNFRSF21
FGF9	upregulates-expression	CTNNB1
HDAC2	downregulates-expression	MDM2
FOXO1	upregulates-expression	PINK1
PINK1	upregulates-expression	FOXO3
FOXO3	upregulates-expression	PINK1
RELA	upregulates-expression	BCL3
RELA	upregulates-expression	BCL2
BCL2	upregulates-expression	RELA
TP63	upregulates-expression	TRAF4
CREB3L3	upregulates-expression	FGF21
TWIST2	downregulates-expression	ERBB3
H2BFS	upregulates-expression	BCL2
TWIST1	downregulates-expression	ERBB3
MYC	upregulates-expression	POLR3D
TFAP2C	upregulates-expression	PITX2
POLR2A	upregulates-expression	MYB
POLR2C	upregulates-expression	MYB
POLR2B	upregulates-expression	MYB
POLR2E	upregulates-expression	MYB
POLR2D	upregulates-expression	MYB
POLR2F	upregulates-expression	MYC
POLR2G	upregulates-expression	MYB
POLR2F	upregulates-expression	MYB
POLR2I	upregulates-expression	MYB
POLR2H	upregulates-expression	MYB
POLR2K	upregulates-expression	MYB
POLR2J	upregulates-expression	MYB
POLR2L	upregulates-expression	MYB
E2F1	upregulates-expression	NR4A1
NR4A1	upregulates-expression	E2F1
TFAP2A	upregulates-expression	PITX2
YBX1	downregulates-expression	FAS
RELA	upregulates-expression	TBX21
CREBBP	upregulates-expression	PEX11A
MAX	upregulates-expression	POLR3D
TP53	upregulates-expression	TIGAR
HDAC2	downregulates-expression	DKK1
TRIM16	downregulates-expression	VIM
CASP4	downregulates-expression	LEF1
HDAC9	downregulates-expression	DIRAS3
MSC	upregulates-expression	MMP2
MYCN	upregulates-expression	BAX
NFYC	upregulates-expression	FASN
NFYB	upregulates-expression	FASN
NFYA	upregulates-expression	FASN
TGS1	upregulates-expression	TRIB3
PGR	upregulates-expression	E2F1
EGR1	upregulates-expression	FGF2
ATF6	upregulates-expression	RTN3
RUNX3	downregulates-expression	RUNX1
CDK19	upregulates-expression	LPL
IKZF1	downregulates-expression	PTCRA
USF2	upregulates-expression	PIGR
USF1	upregulates-expression	PIGR
TBL1XR1	upregulates-expression	ACADM
SP1	upregulates-expression	MICA
SP1	upregulates-expression	MICB
NFRKB	upregulates-expression	JUN
HOXC10	downregulates-expression	HOXB8
YY1	downregulates-expression	CXCR4
CXCR4	downregulates-expression	YY1
SMAD3	upregulates-expression	CCND2
TBL1XR1	upregulates-expression	TXNRD1
TP63	upregulates-expression	MFGE8
TP73	upregulates-expression	HSF1
IRF1	downregulates-expression	E2F1
E2F1	downregulates-expression	IRF3
IRF3	downregulates-expression	E2F1
JUP	downregulates-expression	GLI1
NFKB1	upregulates-expression	MMP13
NFKB1	upregulates-expression	MMP14
ZEB1	upregulates-expression	SPRR1B
NCOR1	downregulates-expression	CLOCK
MAPK1	upregulates-expression	PLAU
MAPK3	upregulates-expression	PLAU
RRM2B	upregulates-expression	TP53
TP53	upregulates-expression	RRM2B
PARN	downregulates-expression	CXCL8
NEUROG3	upregulates-expression	PAX4
BRCA1	upregulates-expression	ATR
ATR	upregulates-expression	BRCA1
BRCA1	upregulates-expression	ATM
ATM	upregulates-expression	BRCA1
USF2	upregulates-expression	THBS1
RACK1	upregulates-expression	KLK2
TFE3	upregulates-expression	SERPINE1
ZNF239	downregulates-expression	RBP3
METAP2	upregulates-expression	MYC
ENO1	upregulates-expression	HIF1A
HIF1A	upregulates-expression	ENO1
RELA	upregulates-expression	NFKBIB
CDK12	upregulates-expression	FANCI
XBP1	upregulates-expression	WIPI1
ATF2	upregulates-expression	ACHE
NPAS2	upregulates-expression	BHLHE41
NPAS2	upregulates-expression	BHLHE40
ARID3A	upregulates-expression	PML
SP1	downregulates-expression	RGN
LEF1	upregulates-expression	PITX2
PITX2	upregulates-expression	LEF1
PTTG1	upregulates-expression	S100A4
TNRC6A	downregulates-expression	CDKN2A
TNRC6C	downregulates-expression	CDKN2A
TNRC6B	downregulates-expression	CDKN2A
JUN	upregulates-expression	MSH2
EPHB3	upregulates-expression	LEF1
E2F1	upregulates-expression	RB1
JAK3	upregulates-expression	BCL2L1
JAK1	upregulates-expression	BCL2L1
TNF	upregulates-expression	NFKB1
NFKB1	upregulates-expression	TNF
ITGB1	upregulates-expression	GLI2
SNAI1	downregulates-expression	EGR1
MEF2C	downregulates-expression	NR4A1
ATM	upregulates-expression	RAD51D
RAD51D	upregulates-expression	ATM
ATR	upregulates-expression	RAD51D
RAD51D	upregulates-expression	ATR
NFATC2	upregulates-expression	PTGS2
NFATC1	upregulates-expression	PTGS2
NFATC3	upregulates-expression	PTGS2
NFKB1	upregulates-expression	FASLG
CARM1	upregulates-expression	FDFT1
BCL6	downregulates-expression	CD80
USF1	downregulates-expression	PTGS2
STAT1	upregulates-expression	EPOR
FOXA2	upregulates-expression	HADH
GAB2	upregulates-expression	E2F1
GCLC	upregulates-expression	NFE2L2
PKLR	upregulates-expression	USF1
VDR	downregulates-expression	PTH
BTG2	downregulates-expression	KLK3
BTAF1	downregulates-expression	TBP
MAFA	upregulates-expression	PDX1
TBX21	downregulates-expression	CCR4
DVL3	upregulates-expression	MYC
NFYC	upregulates-expression	FDPS
FOXM1	upregulates-expression	LAMA4
NFYB	upregulates-expression	FDPS
NFYA	upregulates-expression	FDPS
FDPS	upregulates-expression	NFYA
SP3	upregulates-expression	NFKB1
SP4	upregulates-expression	NFKB1
SP1	upregulates-expression	NFKB1
TFDP2	upregulates-expression	WASF1
TFDP1	upregulates-expression	WASF1
ATF2	upregulates-expression	SOCS3
SLC10A1	upregulates-expression	CEBPB
ERBB4	upregulates-expression	APOE
JUN	upregulates-expression	MT2A
NRIP1	upregulates-expression	SLC7A1
TP53	downregulates-expression	HNF4A
JUN	upregulates-expression	MSR1
STAT5A	downregulates-expression	SUMO1
IRF1	upregulates-expression	CASP7
DDX54	downregulates-expression	C3
NR4A1	downregulates-expression	TNF
TYR	upregulates-expression	MITF
MITF	upregulates-expression	TYR
SP1	upregulates-expression	E2F1
APEX1	upregulates-expression	SLC5A5
MLXIPL	upregulates-expression	FASN
TAF10	upregulates-expression	TERT
TAF12	upregulates-expression	TERT
PDK4	upregulates-expression	E2F1
STAT5B	upregulates-expression	ID1
ATF2	upregulates-expression	COL24A1
STAT5A	upregulates-expression	ID1
STMN2	upregulates-expression	CTNNB1
NR3C1	upregulates-expression	BRCA1
NPAS2	upregulates-expression	DBP
ITGB1	upregulates-expression	SMAD3
DST	downregulates-expression	GLI2
SMAD4	upregulates-expression	ITGB5
SMAD3	upregulates-expression	ITGB5
EP300	upregulates-expression	DMP1
NFYB	upregulates-expression	XBP1
NFYA	upregulates-expression	XBP1
STAT5B	upregulates-expression	IL4
STAT5A	upregulates-expression	IL4
NFYC	upregulates-expression	XBP1
ANAPC16	upregulates-expression	IL6
ANAPC11	upregulates-expression	IL6
ANAPC10	upregulates-expression	IL6
MNAT1	upregulates-expression	MDC1
ANAPC15	upregulates-expression	IL6
MECP2	downregulates-expression	CRH
SP1	upregulates-expression	MUC2
SP1	upregulates-expression	MUC6
SP3	upregulates-expression	MUC6
EMB	downregulates-expression	GLI1
EZH2	downregulates-expression	CDKN1A
PIK3R3	upregulates-expression	SREBF1
EZH2	downregulates-expression	CDKN2B
EZH2	downregulates-expression	CDKN2A
SOX4	upregulates-expression	NCAM1
SATB1	upregulates-expression	IL4
FOXP1	upregulates-expression	NANOG
PAX4	downregulates-expression	INS
UHRF1	downregulates-expression	ABCB1
PTGDR	upregulates-expression	CASP7
SNAI2	upregulates-expression	CD44
JUN	upregulates-expression	EDN1
EDN1	upregulates-expression	JUN
NFKBIA	downregulates-expression	S100A6
SPI1	upregulates-expression	PTGIR
CEBPB	upregulates-expression	CRP
CEBPZ	downregulates-expression	COL11A1
CREB3L1	downregulates-expression	SLC1A4
JUNB	upregulates-expression	PTGS2
JUND	upregulates-expression	PTGS2
DPY30	upregulates-expression	GP1BA
STAT1	downregulates-expression	FCGRT
CREBBP	upregulates-expression	GLI1
PAX8	upregulates-expression	SLC5A5
GLI1	downregulates-expression	FAS
GLI2	downregulates-expression	FAS
VHL	downregulates-expression	NMU
TOPBP1	upregulates-expression	E2F3
TOPBP1	upregulates-expression	E2F2
COL10A1	upregulates-expression	RUNX2
TOPBP1	upregulates-expression	E2F1
TP53BP2	upregulates-expression	BBC3
SMARCD3	upregulates-expression	CYP4A11
MECP2	upregulates-expression	SLC2A3
MITF	upregulates-expression	TYRP1
TYRP1	upregulates-expression	MITF
CBFB	upregulates-expression	IGHA1
NR3C1	downregulates-expression	SRF
RARA	upregulates-expression	THBD
NFYA	upregulates-expression	CBS
IL10	downregulates-expression	ICAM1
CEBPB	upregulates-expression	XBP1
ZNF143	upregulates-expression	PCYT1A
ZFPM1	downregulates-expression	MYB
WT1	downregulates-expression	MYC
WT1	downregulates-expression	MYB
HDAC11	downregulates-expression	TNF
GRB2	downregulates-expression	A2M
CREBBP	upregulates-expression	INSM1
VHL	downregulates-expression	CXCR4
PAX4	downregulates-expression	GCG
MTF1	upregulates-expression	GCLC
POLE3	upregulates-expression	MYC
PTPN1	downregulates-expression	CSN2
CEBPB	upregulates-expression	DAPK1
TFAP2A	upregulates-expression	PTEN
CDK19	upregulates-expression	PCK1
MED1	upregulates-expression	APOA2
SIRT1	downregulates-expression	BCL2L11
MED1	upregulates-expression	APOA1
MED1	upregulates-expression	APOA5
MLLT3	downregulates-expression	CDKN1A
E2F1	upregulates-expression	THBS1
CARM1	upregulates-expression	TNFRSF21
THBS1	upregulates-expression	E2F1
RELA	upregulates-expression	TFF1
JUN	upregulates-expression	EGFR
KLK3	upregulates-expression	RELA
FOS	upregulates-expression	NEFL
HOXC6	downregulates-expression	IGFBP3
TCF4	downregulates-expression	KLK3
IL2	upregulates-expression	EGR1
EGR1	upregulates-expression	IL3
TBP	downregulates-expression	NF1
DARS2	downregulates-expression	GLI1
H2AFJ	upregulates-expression	KLK3
H2AFJ	upregulates-expression	KLK2
RB1	upregulates-expression	VEGFA
STAT6	upregulates-expression	RETNLB
NR1H4	upregulates-expression	VEGFA
CREBBP	upregulates-expression	PCK1
H2AFV	upregulates-expression	KLK3
H2AFV	upregulates-expression	KLK2
CREB1	upregulates-expression	PCSK1
H2AFX	upregulates-expression	KLK3
H2AFX	upregulates-expression	KLK2
H2AFZ	upregulates-expression	KLK3
H2AFZ	upregulates-expression	KLK2
SP1	upregulates-expression	TERF2
POLR2D	upregulates-expression	FANCI
POLR2C	upregulates-expression	FANCI
POLR2F	upregulates-expression	FANCI
POLR2E	upregulates-expression	FANCI
POLR2H	upregulates-expression	FANCI
POLR2G	upregulates-expression	FANCI
POLR2J	upregulates-expression	FANCI
POLR2I	upregulates-expression	FANCI
POLR2B	upregulates-expression	FANCI
POLR2A	upregulates-expression	FANCI
DDIT3	downregulates-expression	CEBPA
POLR2L	upregulates-expression	FANCI
POLR2K	upregulates-expression	FANCI
E2F1	upregulates-expression	GLI2
SLC6A2	upregulates-expression	CTNNB1
ESR1	upregulates-expression	KDM4B
HSF1	upregulates-expression	LDHA
FOXL2	downregulates-expression	CYP19A1
PIAS1	upregulates-expression	SI
GATA1	upregulates-expression	ITGA2B
NFKB1	downregulates-expression	IL1A
FKBP5	upregulates-expression	AR
MAML3	upregulates-expression	HES5
MAML2	upregulates-expression	HES5
MAML1	upregulates-expression	HES5
ELK1	upregulates-expression	FOS
ELK4	upregulates-expression	FOS
MED13L	downregulates-expression	LEP
NANOG	upregulates-expression	FOXD3
MAML3	upregulates-expression	HEYL
MAML2	upregulates-expression	HEYL
MAML1	upregulates-expression	HEYL
CREB1	upregulates-expression	NDC80
MAML2	upregulates-expression	HEY1
MAML1	upregulates-expression	HEY2
MAML3	upregulates-expression	HEY2
MAML2	upregulates-expression	HEY2
MAML3	upregulates-expression	HEY1
ZNF76	downregulates-expression	CDKN1A
PIAS2	upregulates-expression	AR
SP1	upregulates-expression	HSD17B11
RELA	upregulates-expression	TFF3
RELA	downregulates-expression	REPS2
HELZ2	upregulates-expression	FDFT1
TBL1X	upregulates-expression	HMGCR
CTNNB1	upregulates-expression	INCENP
DRG2	upregulates-expression	GLI1
ATF4	upregulates-expression	APOE
JUN	upregulates-expression	EGR1
TP63	upregulates-expression	FLOT2
TP73	upregulates-expression	FLOT2
PML	downregulates-expression	NR4A1
SLC7A8	upregulates-expression	CTNNB1
GMNN	upregulates-expression	E2F1
GMNN	upregulates-expression	E2F3
GMNN	upregulates-expression	E2F2
GMNN	upregulates-expression	E2F4
RELA	upregulates-expression	CEACAM1
HIF1A	upregulates-expression	NT5E
STAT1	upregulates-expression	PPARA
STAT3	upregulates-expression	PPARA
TP73	upregulates-expression	RAD51
YY1	downregulates-expression	FAS
FAS	downregulates-expression	YY1
APEX1	upregulates-expression	NFKB1
TP53	downregulates-expression	BCL2
TP53	downregulates-expression	BCL3
BCL3	downregulates-expression	TP53
HELZ2	upregulates-expression	RGL1
TEAD1	upregulates-expression	GLI2
BMI1	downregulates-expression	TERT
VDR	downregulates-expression	IL6
VDR	downregulates-expression	IL2
JUN	upregulates-expression	BRCA1
STAT3	upregulates-expression	CHI3L1
E2F5	downregulates-expression	RBL1
E2F4	downregulates-expression	RBL1
RBL1	downregulates-expression	E2F1
E2F3	downregulates-expression	RBL1
E2F2	downregulates-expression	RBL1
RBL2	downregulates-expression	E2F1
JUND	downregulates-expression	CDK4
TGFB2	upregulates-expression	CTNNB1
NR3C1	downregulates-expression	PRL
CAT	upregulates-expression	EGR1
EGR3	upregulates-expression	CAT
MLX	upregulates-expression	AGPAT1
STAT5B	upregulates-expression	MYC
STAT5A	upregulates-expression	MYC
EHMT2	upregulates-expression	KLK3
NR5A1	downregulates-expression	NOV
DBH	upregulates-expression	CTNNB1
RB1	downregulates-expression	MYC
RAD51	upregulates-expression	TP53
NCOA2	upregulates-expression	HMGCR
NCOA1	upregulates-expression	HMGCR
NCOA6	upregulates-expression	HMGCR
FOS	upregulates-expression	EDN1
SP3	downregulates-expression	LOR
HIF1A	upregulates-expression	ETS1
FANCI	upregulates-expression	BRCA1
BRCA1	upregulates-expression	FANCI
SOX6	downregulates-expression	CDK4
ELF1	upregulates-expression	FLI1
SIN3A	downregulates-expression	OPRM1
NRL	downregulates-expression	RHO
BARD1	upregulates-expression	ESR1
ANAPC10	upregulates-expression	CXCL8
ANAPC11	upregulates-expression	CXCL8
ANAPC16	upregulates-expression	CXCL8
ANAPC15	upregulates-expression	CXCL8
YY1	downregulates-expression	GAA
DCT	upregulates-expression	CTNNB1
SP1	upregulates-expression	LOXL4
ANAPC2	upregulates-expression	IL6
ANAPC1	upregulates-expression	IL6
ANAPC7	upregulates-expression	IL6
ANAPC4	upregulates-expression	IL6
ANAPC5	upregulates-expression	IL6
KAT2A	upregulates-expression	HES5
KAT2B	upregulates-expression	HES5
SPI1	downregulates-expression	CD68
SREBF2	upregulates-expression	HMGCS1
KAT2B	upregulates-expression	HEYL
KAT2A	upregulates-expression	HEYL
PER1	downregulates-expression	BAX
KAT2A	upregulates-expression	HEY1
KAT2B	upregulates-expression	HEY2
KAT2B	upregulates-expression	HEY1
KAT2A	upregulates-expression	HEY2
EP300	upregulates-expression	SLC2A1
SLC2A2	upregulates-expression	EP300
SOX17	downregulates-expression	NFAT5
PAX3	upregulates-expression	MITF
STAT5B	upregulates-expression	LTA
STAT5A	upregulates-expression	LTA
SREBF1	upregulates-expression	HMGCS1
HMGCS1	upregulates-expression	SREBF1
NFIL3	downregulates-expression	IL1B
SP3	downregulates-expression	MYC
COL3A1	downregulates-expression	SMAD7
SALL3	downregulates-expression	HDAC9
SIRT1	upregulates-expression	PER1
SKI	downregulates-expression	MYC
MBD1	downregulates-expression	IRF8
STAT6	upregulates-expression	COL1A2
STAT6	upregulates-expression	COL1A1
NPAS2	upregulates-expression	AVP
SLC2A3	upregulates-expression	CTNNB1
PPRC1	upregulates-expression	TFB2M
TBP	downregulates-expression	IL6
SOX2	upregulates-expression	NTRK3
CEBPB	upregulates-expression	ADM
ETS1	upregulates-expression	SLC26A3
STAT5B	upregulates-expression	OSM
STAT5A	upregulates-expression	OSM
PAX5	downregulates-expression	XBP1
ENPP2	upregulates-expression	CTNNB1
MYB	upregulates-expression	MAD1L1
CREB1	upregulates-expression	BDNF
MGMT	upregulates-expression	GLI1
PPRC1	upregulates-expression	TFB1M
MYC	upregulates-expression	VEGFA
TP53	upregulates-expression	SERPINB5
SERPINB5	upregulates-expression	TP53
TP53	upregulates-expression	DUSP5
DUSP1	upregulates-expression	TP53
TP53	upregulates-expression	DUSP1
TP63	upregulates-expression	SERPINB5
TP73	upregulates-expression	SERPINA1
NFATC2	upregulates-expression	PTPRK
BRCA1	upregulates-expression	MYC
SMARCD3	upregulates-expression	PPARA
NFATC2	upregulates-expression	PTPN1
RELA	upregulates-expression	BMP2
ZFP36	downregulates-expression	IL6
ZFP36	downregulates-expression	IL2
PAX8	upregulates-expression	E2F1
IL4	downregulates-expression	TNF
LHB	downregulates-expression	NR5A1
CEBPZ	upregulates-expression	APC
TP53	upregulates-expression	SERPINE1
EP300	upregulates-expression	IL12B
HIF1A	upregulates-expression	NPM1
ALB	upregulates-expression	CEBPA
HDAC4	downregulates-expression	VEGFA
TP73	upregulates-expression	SERPINE1
COL6A2	downregulates-expression	SMAD7
GATA3	upregulates-expression	CHST4
COL6A3	downregulates-expression	SMAD7
E2F1	upregulates-expression	RANBP1
HDAC1	downregulates-expression	BRCA2
BIK	upregulates-expression	CTNNB1
SP1	upregulates-expression	MT2A
HIF1A	upregulates-expression	NOS2
TP53	downregulates-expression	GADD45A
SP1	downregulates-expression	KDR
CDC45	upregulates-expression	GLI2
MYCN	upregulates-expression	NES
MED12	upregulates-expression	DKK1
MEF2A	upregulates-expression	SLC2A4
ELF2	upregulates-expression	BLK
ELF1	upregulates-expression	BLK
E2F1	upregulates-expression	PCNA
PCNA	upregulates-expression	E2F1
RBP2	upregulates-expression	BRD2
CREB1	upregulates-expression	BCL2
GATA4	upregulates-expression	IAPP
SP1	upregulates-expression	MTA1
EGFR	upregulates-expression	FOS
SPI1	upregulates-expression	ACP5
EGR1	downregulates-expression	FCER2
FCER2	downregulates-expression	EGR1
AR	upregulates-expression	EP300
RXRA	upregulates-expression	GRHL1
ATF3	downregulates-expression	LDLR
RB1	downregulates-expression	MET
SP3	upregulates-expression	MSH6
APEX1	upregulates-expression	MITF
NELFCD	upregulates-expression	MDC1
FN1	upregulates-expression	EGR1
EGR1	upregulates-expression	FN1
DCT	downregulates-expression	PAX3
PELP1	upregulates-expression	PTK6
TADA2B	upregulates-expression	BBC3
ELOA	upregulates-expression	ATR
ELOC	upregulates-expression	ATR
ELOB	upregulates-expression	ATR
COL5A2	downregulates-expression	SMAD7
ELOB	upregulates-expression	ATM
ELOA	upregulates-expression	ATM
ELOC	upregulates-expression	ATM
NFYA	upregulates-expression	OGG1
FOXA2	upregulates-expression	APOA1
NFKB1	upregulates-expression	FAS
MSN	downregulates-expression	MYC
DLK1	downregulates-expression	RBPJ
TP53	upregulates-expression	EPHA2
REL	downregulates-expression	IL6
EPAS1	upregulates-expression	CCR7
DNMT1	downregulates-expression	CDH1
IL23R	upregulates-expression	CXCL9
TYK2	upregulates-expression	GZMB
TYK2	upregulates-expression	GZMA
HIST2H2AA3	upregulates-expression	KDM4B
IL23A	upregulates-expression	CXCL9
IL23R	upregulates-expression	CXCL1
CEBPB	upregulates-expression	SLC19A1
IL23A	upregulates-expression	CXCL1
ZBTB7A	downregulates-expression	FOS
ECD	downregulates-expression	GCGR
GFI1	downregulates-expression	BAX
FGF13	upregulates-expression	GLI2
CEBPB	upregulates-expression	KLRC3
IL23R	upregulates-expression	MPO
YY1	downregulates-expression	APC
NFKB1	upregulates-expression	FN1
IL23A	upregulates-expression	MPO
FOXA2	upregulates-expression	PKLR
PTTG1	upregulates-expression	RHOA
CDC16	upregulates-expression	IL6
SIN3A	downregulates-expression	GRIA2
CDC23	upregulates-expression	IL6
NKD1	upregulates-expression	CTNNB1
CDC27	upregulates-expression	IL6
CDC26	upregulates-expression	IL6
EHMT2	downregulates-expression	E2F1
EHMT1	downregulates-expression	E2F1
SREBF2	downregulates-expression	MTTP
MTTP	downregulates-expression	SREBF2
MTTP	downregulates-expression	SREBF1
TBL1XR1	upregulates-expression	CYP7A1
ZFHX3	downregulates-expression	MYB
TP53	downregulates-expression	ABCB1
RBPJ	upregulates-expression	SKP2
SKP2	upregulates-expression	RBPJ
AR	upregulates-expression	JUN
SP1	upregulates-expression	CXCL14
PCGF6	downregulates-expression	CDC7
NPAS2	upregulates-expression	NOCT
LY6G6D	upregulates-expression	CTNNB1
STAT4	upregulates-expression	EBI3
CCL17	upregulates-expression	GLI2
HIF3A	upregulates-expression	VEGFA
VEGFA	upregulates-expression	HIF1A
HIF1A	upregulates-expression	VEGFA
STAT1	upregulates-expression	EBI3
SREBF2	upregulates-expression	LDLR
SREBF1	upregulates-expression	LDLR
LDLR	upregulates-expression	SREBF1
